Temperature dependence of specific heat
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
354       36.300000        23.690000        53.840000        7.194807         10.402278        9.669556         8.170840         7.052842         2.805675         
355       36.300000        23.690000        53.840000        7.197603         10.413284        9.680904         8.173300         7.054281         2.815974         
356       36.300000        23.690000        53.840000        7.200383         10.424209        9.692174         8.175760         7.055715         2.826195         
357       36.300000        23.690000        53.840000        7.203149         10.435052        9.703367         8.178220         7.057145         2.836340         
358       36.300000        23.690000        53.840000        7.205900         10.445814        9.714484         8.180680         7.058570         2.846409         
359       36.300000        23.690000        53.840000        7.208636         10.456497        9.725526         8.183140         7.059991         2.856404         
360       36.300000        23.690000        53.840000        7.211358         10.467101        9.736494         8.185600         7.061407         2.866326         
361       36.300000        23.690000        53.840000        7.214066         10.477627        9.747388         8.188060         7.062820         2.876174         
362       36.300000        23.690000        53.840000        7.216759         10.488077        9.758209         8.190520         7.064228         2.885951         
363       36.300000        23.690000        53.840000        7.219438         10.498450        9.768958         8.192980         7.065632         2.895656         
364       36.300000        23.690000        53.840000        7.222104         10.508747        9.779636         8.195440         7.067031         2.905291         
365       36.300000        23.690000        53.840000        7.224756         10.518970        9.790244         8.197900         7.068427         2.914856         
366       36.300000        23.690000        53.840000        7.227394         10.529120        9.800782         8.200360         7.069818         2.924352         
367       36.300000        23.690000        53.840000        7.230020         10.539197        9.811251         8.202820         7.071206         2.933780         
368       36.300000        23.690000        53.840000        7.232631         10.549201        9.821652         8.205280         7.072589         2.943140         
369       36.300000        23.690000        53.840000        7.235230         10.559134        9.831985         8.207740         7.073969         2.952434         
370       36.300000        23.690000        53.840000        7.237816         10.568997        9.842252         8.210200         7.075345         2.961661         
371       36.300000        23.690000        53.840000        7.240389         10.578790        9.852453         8.212660         7.076717         2.970823         
372       36.300000        23.690000        53.840000        7.242949         10.588513        9.862589         8.215120         7.078085         2.979921         
373       36.300000        23.690000        53.840000        7.245497         10.598169        9.872660         8.217580         7.079449         2.988955         
374       36.300000        23.690000        53.840000        7.248032         10.607757        9.882667         8.220040         7.080810         2.997925         
375       36.300000        23.690000        53.840000        7.250556         10.617278        9.892611         8.222500         7.082167         3.006833         
