Entered data
Reagents:
Zn(NO3)2 1.0
NH2CH2COOH 0.6667
C6H8O7 0.277778
O2 -0.249924
Products:
ZnO 1.0
CO2 2.500068
H2O 2.777862
N2 1.33335
C 0.5
Mass of object product, g: 5
Emitting area, m^2: 0.0113
Burning time, s: 8
Ignition temperature, K: 450
The amount of water in crystalline hydrate: 0
Start of calculations
  T, K    Cp(reag)   Cp(prod)    dH(reag)     dH(prod)        Q          Cp*dT       A          delta       delta*n      rad       Result 
  1235    64.9581    86.4352    -292418.2    -406083.4     113665.3     62958.0   10696.0      40011.2      2458.6   2848.2      -389.5
  1236    64.9579    86.4497    -292418.2    -405997.0     113578.8     63044.5   10709.6      39824.7      2447.2   2857.4      -410.2
  1237    64.9576    86.4642    -292418.2    -405910.5     113492.4     63130.9   10723.3      39638.2      2435.7   2866.7      -431.0
  1238    64.9574    86.4787    -292418.2    -405824.1     113405.9     63217.4   10736.9      39451.6      2424.2   2875.9      -451.7
  1239    64.9571    86.4933    -292418.2    -405737.6     113319.4     63303.9   10750.5      39265.0      2412.8   2885.2      -472.5
  1240    64.9568    86.5078    -292418.2    -405651.1     113232.9     63390.4   10764.1      39078.4      2401.3   2894.6      -493.3
  1241    64.9566    86.5223    -292418.2    -405564.6     113146.4     63476.9   10777.8      38891.7      2389.8   2903.9      -514.1
  1242    64.9563    86.5368    -292418.2    -405478.0     113059.9     63563.4   10791.4      38705.1      2378.4   2913.3      -534.9
  1243    64.9560    86.5513    -292418.2    -405391.5     112973.3     63650.0   10805.0      38518.3      2366.9   2922.7      -555.8
  1244    64.9558    86.5658    -292418.2    -405304.9     112886.8     63736.5   10818.6      38331.6      2355.4   2932.1      -576.7
  1245    64.9555    86.5804    -292418.2    -405218.4     112800.2     63823.1   10832.3      38144.8      2343.9   2941.5      -597.6
  1246    64.9553    86.5949    -292418.2    -405131.8     112713.6     63909.7   10845.9      37958.0      2332.5   2951.0      -618.5
  1247    64.9550    86.6094    -292418.2    -405045.2     112627.0     63996.3   10859.5      37771.2      2321.0   2960.5      -639.5
  1248    64.9547    86.6239    -292418.2    -404958.6     112540.4     64082.9   10873.1      37584.3      2309.5   2970.0      -660.5
  1249    64.9545    86.6384    -292418.2    -404871.9     112453.8     64169.5   10886.8      37397.5      2298.0   2979.5      -681.5
  1250    64.9542    86.6529    -292418.2    -404785.3     112367.1     64256.2   10900.4      37210.5      2286.5   2989.1      -702.5
  1251    64.9540    86.6674    -292418.2    -404698.6     112280.4     64342.8   10914.0      37023.6      2275.0   2998.7      -723.6
  1252    64.9537    86.6819    -292418.2    -404611.9     112193.8     64429.5   10927.6      36836.6      2263.6   3008.3      -744.7
  1253    64.9534    86.6964    -292418.2    -404525.2     112107.1     64516.2   10941.3      36649.6      2252.1   3017.9      -765.8
  1254    64.9532    86.7109    -292418.2    -404438.5     112020.4     64602.9   10954.9      36462.6      2240.6   3027.5      -787.0
  1255    64.9529    86.7254    -292418.2    -404351.8     111933.7     64689.6   10968.5      36275.5      2229.1   3037.2      -808.1
  1256    64.9527    86.7399    -292418.2    -404265.1     111846.9     64776.4   10982.1      36088.4      2217.6   3046.9      -829.3
  1257    64.9524    86.7544    -292418.2    -404178.3     111760.2     64863.1   10995.8      35901.3      2206.1   3056.6      -850.5
  1258    64.9521    86.7689    -292418.2    -404091.6     111673.4     64949.9   11009.4      35714.2      2194.6   3066.3      -871.8
  1259    64.9519    86.7833    -292418.2    -404004.8     111586.6     65036.6   11023.0      35527.0      2183.1   3076.1      -893.0
  1260    64.9516    86.7978    -292418.2    -403918.0     111499.9     65123.4   11036.6      35339.8      2171.6   3085.9      -914.3
  1261    64.9514    86.8123    -292418.2    -403831.2     111413.0     65210.2   11050.3      35152.5      2160.1   3095.7      -935.6
  1262    64.9511    86.8268    -292418.2    -403744.4     111326.2     65297.1   11063.9      34965.3      2148.6   3105.5      -957.0
  1263    64.9508    86.8413    -292418.2    -403657.6     111239.4     65383.9   11077.5      34778.0      2137.1   3115.4      -978.3
  1264    64.9506    86.8558    -292418.2    -403570.7     111152.5     65470.7   11091.1      34590.7      2125.5   3125.3      -999.7
  1265    64.9503    86.8702    -292418.2    -403483.8     111065.7     65557.6   11104.8      34403.3      2114.0   3135.2     -1021.1
  1266    64.9501    86.8847    -292418.2    -403397.0     110978.8     65644.5   11118.4      34215.9      2102.5   3145.1     -1042.6
  1267    64.9498    86.8992    -292418.2    -403310.1     110891.9     65731.4   11132.0      34028.5      2091.0   3155.0     -1064.0
  1268    64.9495    86.9137    -292418.2    -403223.2     110805.0     65818.3   11145.6      33841.1      2079.5   3165.0     -1085.5
  1269    64.9493    86.9281    -292418.2    -403136.3     110718.1     65905.2   11159.3      33653.6      2068.0   3175.0     -1107.0
  1270    64.9490    86.9426    -292418.2    -403049.3     110631.1     65992.1   11172.9      33466.1      2056.4   3185.0     -1128.6
  1271    64.9488    86.9571    -292418.2    -402962.4     110544.2     66079.1   11186.5      33278.6      2044.9   3195.1     -1150.1
  1272    64.9485    86.9716    -292418.2    -402875.4     110457.2     66166.0   11200.1      33091.0      2033.4   3205.1     -1171.7
  1273    64.9483    86.9860    -292418.2    -402788.4     110370.3     66253.0   11213.8      32903.5      2021.9   3215.2     -1193.4
  1274    64.9480    87.0005    -292418.2    -402701.4     110283.3     66340.0   11227.4      32715.8      2010.3   3225.3     -1215.0
  1275    64.9477    87.0150    -292418.2    -402614.4     110196.3     66427.0   11241.0      32528.2      1998.8   3235.5     -1236.7
  1276    64.9475    87.0294    -292418.2    -402527.4     110109.2     66514.1   11254.7      32340.5      1987.3   3245.6     -1258.4
  1277    64.9472    87.0439    -292418.2    -402440.4     110022.2     66601.1   11268.3      32152.8      1975.7   3255.8     -1280.1
  1278    64.9470    87.0583    -292418.2    -402353.3     109935.1     66688.1   11281.9      31965.1      1964.2   3266.0     -1301.8
  1279    64.9467    87.0728    -292418.2    -402266.2     109848.1     66775.2   11295.5      31777.3      1952.7   3276.3     -1323.6
  1280    64.9464    87.0873    -292418.2    -402179.2     109761.0     66862.3   11309.2      31589.6      1941.1   3286.5     -1345.4
  1281    64.9462    87.1017    -292418.2    -402092.1     109673.9     66949.4   11322.8      31401.7      1929.6   3296.8     -1367.2
  1282    64.9459    87.1162    -292418.2    -402005.0     109586.8     67036.5   11336.4      31213.9      1918.0   3307.1     -1389.1
  1283    64.9457    87.1306    -292418.2    -401917.8     109499.7     67123.6   11350.0      31026.0      1906.5   3317.4     -1410.9
  1284    64.9454    87.1451    -292418.2    -401830.7     109412.5     67210.7   11363.7      30838.1      1895.0   3327.8     -1432.8
  1285    64.9451    87.1595    -292418.2    -401743.6     109325.4     67297.9   11377.3      30650.2      1883.4   3338.2     -1454.8
  1286    64.9449    87.1740    -292418.2    -401656.4     109238.2     67385.1   11390.9      30462.2      1871.9   3348.6     -1476.7
  1287    64.9446    87.1884    -292418.2    -401569.2     109151.0     67472.2   11404.5      30274.3      1860.3   3359.0     -1498.7
  1288    64.9444    87.2029    -292418.2    -401482.0     109063.8     67559.4   11418.2      30086.2      1848.8   3369.5     -1520.7
  1289    64.9441    87.2173    -292418.2    -401394.8     108976.6     67646.7   11431.8      29898.2      1837.2   3379.9     -1542.7
  1290    64.9438    87.2318    -292418.2    -401307.6     108889.4     67733.9   11445.4      29710.1      1825.6   3390.4     -1564.8
  1291    64.9436    87.2462    -292418.2    -401220.3     108802.2     67821.1   11459.0      29522.0      1814.1   3401.0     -1586.9
  1292    64.9433    87.2607    -292418.2    -401133.1     108714.9     67908.4   11472.7      29333.9      1802.5   3411.5     -1609.0
  1293    64.9431    87.2751    -292418.2    -401045.8     108627.6     67995.6   11486.3      29145.7      1791.0   3422.1     -1631.1
  1294    64.9428    87.2895    -292418.2    -400958.5     108540.4     68082.9   11499.9      28957.5      1779.4   3432.7     -1653.3
  1295    64.9425    87.3040    -292418.2    -400871.2     108453.1     68170.2   11513.5      28769.3      1767.8   3443.3     -1675.5
  1296    64.9423    87.3184    -292418.2    -400783.9     108365.8     68257.5   11527.2      28581.1      1756.3   3454.0     -1697.7
  1297    64.9420    87.3328    -292418.2    -400696.6     108278.4     68344.9   11540.8      28392.8      1744.7   3464.6     -1719.9
  1298    64.9418    87.3473    -292418.2    -400609.3     108191.1     68432.2   11554.4      28204.5      1733.1   3475.3     -1742.2
  1299    64.9415    87.3617    -292418.2    -400521.9     108103.7     68519.5   11568.0      28016.1      1721.5   3486.1     -1764.5
  1300    64.9412    87.3761    -292418.2    -400434.5     108016.4     68606.9   11581.7      27827.8      1710.0   3496.8     -1786.8
  1301    64.9410    87.3906    -292418.2    -400347.2     107929.0     68694.3   11595.3      27639.4      1698.4   3507.6     -1809.2
  1302    64.9407    87.4050    -292418.2    -400259.8     107841.6     68781.7   11608.9      27451.0      1686.8   3518.4     -1831.5
  1303    64.9405    87.4194    -292418.2    -400172.3     107754.2     68869.1   11622.5      27262.5      1675.2   3529.2     -1854.0
  1304    64.9402    87.4338    -292418.2    -400084.9     107666.7     68956.5   11636.2      27074.0      1663.7   3540.0     -1876.4
  1305    64.9400    87.4483    -292418.2    -399997.5     107579.3     69044.0   11649.8      26885.5      1652.1   3550.9     -1898.8
  1306    64.9397    87.4627    -292418.2    -399910.0     107491.8     69131.4   11663.4      26697.0      1640.5   3561.8     -1921.3
  1307    64.9394    87.4771    -292418.2    -399822.5     107404.4     69218.9   11677.0      26508.4      1628.9   3572.7     -1943.8
  1308    64.9392    87.4915    -292418.2    -399735.1     107316.9     69306.4   11690.7      26319.8      1617.3   3583.7     -1966.4
  1309    64.9389    87.5060    -292418.2    -399647.6     107229.4     69393.9   11704.3      26131.2      1605.7   3594.6     -1988.9
  1310    64.9387    87.5204    -292418.2    -399560.1     107141.9     69481.4   11717.9      25942.6      1594.1   3605.6     -2011.5
  1311    64.9384    87.5348    -292418.2    -399472.5     107054.4     69568.9   11731.5      25753.9      1582.5   3616.7     -2034.1
  1312    64.9381    87.5492    -292418.2    -399385.0     106966.8     69656.5   11745.2      25565.2      1570.9   3627.7     -2056.8
  1313    64.9379    87.5636    -292418.2    -399297.4     106879.3     69744.0   11758.8      25376.4      1559.3   3638.8     -2079.4
  1314    64.9376    87.5780    -292418.2    -399209.9     106791.7     69831.6   11772.4      25187.7      1547.7   3649.9     -2102.1
  1315    64.9374    87.5924    -292418.2    -399122.3     106704.1     69919.2   11786.0      24998.9      1536.1   3661.0     -2124.9
  1316    64.9371    87.6068    -292418.2    -399034.7     106616.5     70006.8   11799.7      24810.0      1524.5   3672.2     -2147.6
  1317    64.9368    87.6213    -292418.2    -398947.1     106528.9     70094.4   11813.3      24621.2      1512.9   3683.3     -2170.4
  1318    64.9366    87.6357    -292418.2    -398859.4     106441.3     70182.0   11826.9      24432.3      1501.3   3694.5     -2193.2
  1319    64.9363    87.6501    -292418.2    -398771.8     106353.6     70269.7   11840.5      24243.4      1489.7   3705.8     -2216.0
  1320    64.9361    87.6645    -292418.2    -398684.1     106266.0     70357.3   11854.2      24054.5      1478.1   3717.0     -2238.9
  1321    64.9358    87.6789    -292418.2    -398596.5     106178.3     70445.0   11867.8      23865.5      1466.5   3728.3     -2261.8
  1322    64.9356    87.6933    -292418.2    -398508.8     106090.6     70532.7   11881.4      23676.5      1454.9   3739.6     -2284.7
  1323    64.9353    87.7077    -292418.2    -398421.1     106002.9     70620.4   11895.0      23487.5      1443.3   3750.9     -2307.6
  1324    64.9350    87.7221    -292418.2    -398333.4     105915.2     70708.1   11908.7      23298.4      1431.7   3762.3     -2330.6
  1325    64.9348    87.7365    -292418.2    -398245.6     105827.5     70795.8   11922.3      23109.3      1420.0   3773.6     -2353.6
  1326    64.9345    87.7509    -292418.2    -398157.9     105739.7     70883.6   11935.9      22920.2      1408.4   3785.0     -2376.6
  1327    64.9343    87.7653    -292418.2    -398070.1     105652.0     70971.3   11949.5      22731.1      1396.8   3796.5     -2399.7
  1328    64.9340    87.7797    -292418.2    -397982.3     105564.2     71059.1   11963.2      22541.9      1385.2   3807.9     -2422.8
  1329    64.9337    87.7941    -292418.2    -397894.6     105476.4     71146.9   11976.8      22352.7      1373.5   3819.4     -2445.9
  1330    64.9335    87.8085    -292418.2    -397806.8     105388.6     71234.7   11990.4      22163.5      1361.9   3830.9     -2469.0
  1331    64.9332    87.8228    -292418.2    -397718.9     105300.8     71322.5   12004.1      21974.2      1350.3   3842.5     -2492.2
  1332    64.9330    87.8372    -292418.2    -397631.1     105212.9     71410.3   12017.7      21784.9      1338.7   3854.0     -2515.4
  1333    64.9327    87.8516    -292418.2    -397543.3     105125.1     71498.2   12031.3      21595.6      1327.0   3865.6     -2538.6
  1334    64.9325    87.8660    -292418.2    -397455.4     105037.2     71586.0   12044.9      21406.3      1315.4   3877.2     -2561.8
  1335    64.9322    87.8804    -292418.2    -397367.5     104949.4     71673.9   12058.6      21216.9      1303.7   3888.9     -2585.1
  1336    64.9319    87.8948    -292418.2    -397279.7     104861.5     71761.8   12072.2      21027.5      1292.1   3900.5     -2608.4
  1337    64.9317    87.9092    -292418.2    -397191.7     104773.6     71849.7   12085.8      20838.1      1280.5   3912.2     -2631.8
  1338    64.9314    87.9235    -292418.2    -397103.8     104685.7     71937.6   12099.4      20648.6      1268.8   3923.9     -2655.1
  1339    64.9312    87.9379    -292418.2    -397015.9     104597.7     72025.5   12113.1      20459.1      1257.2   3935.7     -2678.5
  1340    64.9309    87.9523    -292418.2    -396928.0     104509.8     72113.5   12126.7      20269.6      1245.5   3947.4     -2701.9
  1341    64.9306    87.9667    -292418.2    -396840.0     104421.8     72201.5   12140.3      20080.1      1233.9   3959.2     -2725.4
  1342    64.9304    87.9811    -292418.2    -396752.0     104333.9     72289.4   12153.9      19890.5      1222.2   3971.1     -2748.8
  1343    64.9301    87.9954    -292418.2    -396664.0     104245.9     72377.4   12167.6      19700.9      1210.6   3982.9     -2772.3
  1344    64.9299    88.0098    -292418.2    -396576.0     104157.9     72465.4   12181.2      19511.3      1198.9   3994.8     -2795.9
  1345    64.9296    88.0242    -292418.2    -396488.0     104069.8     72553.4   12194.8      19321.6      1187.3   4006.7     -2819.4
  1346    64.9294    88.0386    -292418.2    -396400.0     103981.8     72641.5   12208.4      19131.9      1175.6   4018.6     -2843.0
  1347    64.9291    88.0529    -292418.2    -396311.9     103893.8     72729.5   12222.1      18942.2      1164.0   4030.6     -2866.6
  1348    64.9288    88.0673    -292418.2    -396223.9     103805.7     72817.6   12235.7      18752.5      1152.3   4042.6     -2890.3
  1349    64.9286    88.0817    -292418.2    -396135.8     103717.6     72905.6   12249.3      18562.7      1140.6   4054.6     -2913.9
  1350    64.9283    88.0961    -292418.2    -396047.7     103629.5     72993.7   12262.9      18372.9      1129.0   4066.6     -2937.6
  1351    64.9281    88.1104    -292418.2    -395959.6     103541.4     73081.8   12276.6      18183.0      1117.3   4078.7     -2961.4
  1352    64.9278    88.1248    -292418.2    -395871.5     103453.3     73170.0   12290.2      17993.2      1105.7   4090.8     -2985.1
  1353    64.9275    88.1392    -292418.2    -395783.4     103365.2     73258.1   12303.8      17803.3      1094.0   4102.9     -3008.9
  1354    64.9273    88.1535    -292418.2    -395695.2     103277.0     73346.2   12317.4      17613.4      1082.3   4115.0     -3032.7
  1355    64.9270    88.1679    -292418.2    -395607.1     103188.9     73434.4   12331.1      17423.4      1070.6   4127.2     -3056.5
  1356    64.9268    88.1822    -292418.2    -395518.9     103100.7     73522.6   12344.7      17233.5      1059.0   4139.4     -3080.4
  1357    64.9265    88.1966    -292418.2    -395430.7     103012.5     73610.8   12358.3      17043.4      1047.3   4151.6     -3104.3
  1358    64.9263    88.2110    -292418.2    -395342.5     102924.3     73699.0   12371.9      16853.4      1035.6   4163.9     -3128.2
  1359    64.9260    88.2253    -292418.2    -395254.3     102836.1     73787.2   12385.6      16663.4      1023.9   4176.1     -3152.2
  1360    64.9257    88.2397    -292418.2    -395166.0     102747.9     73875.4   12399.2      16473.3      1012.3   4188.4     -3176.2
  1361    64.9255    88.2540    -292418.2    -395077.8     102659.6     73963.7   12412.8      16283.1      1000.6   4200.8     -3200.2
  1362    64.9252    88.2684    -292418.2    -394989.5     102571.4     74051.9   12426.4      16093.0       988.9   4213.1     -3224.2
  1363    64.9250    88.2827    -292418.2    -394901.3     102483.1     74140.2   12440.1      15902.8       977.2   4225.5     -3248.3
  1364    64.9247    88.2971    -292418.2    -394813.0     102394.8     74228.5   12453.7      15712.6       965.5   4237.9     -3272.4
  1365    64.9245    88.3114    -292418.2    -394724.7     102306.5     74316.8   12467.3      15522.4       953.8   4250.4     -3296.6
  1366    64.9242    88.3258    -292418.2    -394636.3     102218.2     74405.1   12480.9      15332.1       942.1   4262.9     -3320.7
  1367    64.9239    88.3401    -292418.2    -394548.0     102129.8     74493.4   12494.6      15141.8       930.4   4275.3     -3344.9
  1368    64.9237    88.3545    -292418.2    -394459.7     102041.5     74581.8   12508.2      14951.5       918.7   4287.9     -3369.1
  1369    64.9234    88.3688    -292418.2    -394371.3     101953.1     74670.2   12521.8      14761.2       907.1   4300.4     -3393.4
  1370    64.9232    88.3832    -292418.2    -394282.9     101864.8     74758.5   12535.4      14570.8       895.4   4313.0     -3417.6
  1371    64.9229    88.3975    -292418.2    -394194.5     101776.4     74846.9   12549.1      14380.4       883.7   4325.6     -3442.0
  1372    64.9226    88.4119    -292418.2    -394106.1     101688.0     74935.3   12562.7      14189.9       871.9   4338.2     -3466.3
  1373    64.9224    88.4262    -292418.2    -394017.7     101599.5     75023.7   12576.3      13999.5       860.2   4350.9     -3490.7
  1374    64.9221    88.4406    -292418.2    -393929.3     101511.1     75112.2   12589.9      13809.0       848.5   4363.6     -3515.1
  1375    64.9219    88.4549    -292418.2    -393840.8     101422.7     75200.6   12603.6      13618.5       836.8   4376.3     -3539.5
  1376    64.9216    88.4692    -292418.2    -393752.4     101334.2     75289.1   12617.2      13427.9       825.1   4389.1     -3563.9
  1377    64.9214    88.4836    -292418.2    -393663.9     101245.7     75377.6   12630.8      13237.3       813.4   4401.8     -3588.4
  1378    64.9211    88.4979    -292418.2    -393575.4     101157.2     75466.1   12644.4      13046.7       801.7   4414.6     -3612.9
  1379    64.9208    88.5123    -292418.2    -393486.9     101068.7     75554.6   12658.1      12856.1       790.0   4427.5     -3637.5
  1380    64.9206    88.5266    -292418.2    -393398.4     100980.2     75643.1   12671.7      12665.4       778.3   4440.3     -3662.0
  1381    64.9203    88.5409    -292418.2    -393309.8     100891.7     75731.6   12685.3      12474.7       766.6   4453.2     -3686.6
  1382    64.9201    88.5553    -292418.2    -393221.3     100803.1     75820.2   12699.0      12284.0       754.8   4466.1     -3711.3
  1383    64.9198    88.5696    -292418.2    -393132.7     100714.6     75908.7   12712.6      12093.3       743.1   4479.1     -3735.9
  1384    64.9196    88.5839    -292418.2    -393044.2     100626.0     75997.3   12726.2      11902.5       731.4   4492.0     -3760.6
  1385    64.9193    88.5983    -292418.2    -392955.6     100537.4     76085.9   12739.8      11711.7       719.7   4505.0     -3785.4
  1386    64.9190    88.6126    -292418.2    -392867.0     100448.8     76174.5   12753.5      11520.8       707.9   4518.0     -3810.1
  1387    64.9188    88.6269    -292418.2    -392778.3     100360.2     76263.1   12767.1      11330.0       696.2   4531.1     -3834.9
  1388    64.9185    88.6413    -292418.2    -392689.7     100271.5     76351.7   12780.7      11139.1       684.5   4544.2     -3859.7
  1389    64.9183    88.6556    -292418.2    -392601.1     100182.9     76440.4   12794.3      10948.2       672.7   4557.3     -3884.5
  1390    64.9180    88.6699    -292418.2    -392512.4     100094.2     76529.1   12808.0      10757.2       661.0   4570.4     -3909.4
  1391    64.9178    88.6842    -292418.2    -392423.7     100005.5     76617.7   12821.6      10566.2       649.3   4583.6     -3934.3
  1392    64.9175    88.6986    -292418.2    -392335.0      99916.9     76706.4   12835.2      10375.2       637.5   4596.8     -3959.2
  1393    64.9172    88.7129    -292418.2    -392246.3      99828.1     76795.1   12848.8      10184.2       625.8   4610.0     -3984.2
  1394    64.9170    88.7272    -292418.2    -392157.6      99739.4     76883.9   12862.5       9993.1       614.1   4623.3     -4009.2
  1395    64.9167    88.7415    -292418.2    -392068.9      99650.7     76972.6   12876.1       9802.0       602.3   4636.5     -4034.2
  1396    64.9165    88.7558    -292418.2    -391980.1      99561.9     77061.3   12889.7       9610.9       590.6   4649.9     -4059.3
  1397    64.9162    88.7702    -292418.2    -391891.4      99473.2     77150.1   12903.3       9419.7       578.8   4663.2     -4084.4
  1398    64.9160    88.7845    -292418.2    -391802.6      99384.4     77238.9   12917.0       9228.6       567.1   4676.6     -4109.5
  1399    64.9157    88.7988    -292418.2    -391713.8      99295.6     77327.7   12930.6       9037.4       555.3   4690.0     -4134.6
  1400    64.9154    88.8131    -292418.2    -391625.0      99206.8     77416.5   12944.2       8846.1       543.6   4703.4     -4159.8
  1401    64.9152    88.8274    -292418.2    -391536.2      99118.0     77505.3   12957.8       8654.9       531.8   4716.8     -4185.0
  1402    64.9149    88.8417    -292418.2    -391447.3      99029.2     77594.1   12971.5       8463.6       520.1   4730.3     -4210.2
  1403    64.9147    88.8560    -292418.2    -391358.5      98940.3     77683.0   12985.1       8272.2       508.3   4743.8     -4235.5
  1404    64.9144    88.8704    -292418.2    -391269.6      98851.4     77771.8   12998.7       8080.9       496.6   4757.4     -4260.8
  1405    64.9142    88.8847    -292418.2    -391180.7      98762.6     77860.7   13012.3       7889.5       484.8   4770.9     -4286.1
  1406    64.9139    88.8990    -292418.2    -391091.8      98673.7     77949.6   13026.0       7698.1       473.0   4784.5     -4311.5
  1407    64.9136    88.9133    -292418.2    -391002.9      98584.8     78038.5   13039.6       7506.7       461.3   4798.1     -4336.9
  1408    64.9134    88.9276    -292418.2    -390914.0      98495.8     78127.4   13053.2       7315.2       449.5   4811.8     -4362.3
  1409    64.9131    88.9419    -292418.2    -390825.1      98406.9     78216.4   13066.8       7123.7       437.7   4825.5     -4387.7
  1410    64.9129    88.9562    -292418.2    -390736.1      98318.0     78305.3   13080.5       6932.2       426.0   4839.2     -4413.2
  1411    64.9126    88.9705    -292418.2    -390647.2      98229.0     78394.3   13094.1       6740.6       414.2   4852.9     -4438.7
  1412    64.9124    88.9848    -292418.2    -390558.2      98140.0     78483.3   13107.7       6549.0       402.4   4866.7     -4464.3
  1413    64.9121    88.9991    -292418.2    -390469.2      98051.0     78572.3   13121.3       6357.4       390.7   4880.5     -4489.9
  1414    64.9118    89.0134    -292418.2    -390380.2      97962.0     78661.3   13135.0       6165.8       378.9   4894.3     -4515.5
  1415    64.9116    89.0277    -292418.2    -390291.2      97873.0     78750.3   13148.6       5974.1       367.1   4908.2     -4541.1
  1416    64.9113    89.0420    -292418.2    -390202.1      97784.0     78839.3   13162.2       5782.4       355.3   4922.1     -4566.8
  1417    64.9111    89.0563    -292418.2    -390113.1      97694.9     78928.4   13175.8       5590.7       343.5   4936.0     -4592.5
  1418    64.9108    89.0706    -292418.2    -390024.0      97605.9     79017.4   13189.5       5399.0       331.8   4950.0     -4618.2
  1419    64.9106    89.0849    -292418.2    -389934.9      97516.8     79106.5   13203.1       5207.2       320.0   4963.9     -4644.0
  1420    64.9103    89.0992    -292418.2    -389845.9      97427.7     79195.6   13216.7       5015.4       308.2   4978.0     -4669.8
  1421    64.9100    89.1135    -292418.2    -389756.7      97338.6     79284.7   13230.3       4823.5       296.4   4992.0     -4695.6
  1422    64.9098    89.1278    -292418.2    -389667.6      97249.5     79373.8   13244.0       4631.7       284.6   5006.1     -4721.4
  1423    64.9095    89.1421    -292418.2    -389578.5      97160.3     79463.0   13257.6       4439.8       272.8   5020.2     -4747.3
  1424    64.9093    89.1564    -292418.2    -389489.3      97071.2     79552.1   13271.2       4247.8       261.0   5034.3     -4773.3
  1425    64.9090    89.1707    -292418.2    -389400.2      96982.0     79641.3   13284.8       4055.9       249.2   5048.4     -4799.2
  1426    64.9088    89.1850    -292418.2    -389311.0      96892.8     79730.5   13298.5       3863.9       237.4   5062.6     -4825.2
  1427    64.9085    89.1993    -292418.2    -389221.8      96803.6     79819.6   13312.1       3671.9       225.6   5076.8     -4851.2
  1428    64.9082    89.2135    -292418.2    -389132.6      96714.4     79908.9   13325.7       3479.9       213.8   5091.1     -4877.3
  1429    64.9080    89.2278    -292418.2    -389043.4      96625.2     79998.1   13339.3       3287.8       202.0   5105.4     -4903.3
  1430    64.9077    89.2421    -292418.2    -388954.1      96536.0     80087.3   13353.0       3095.7       190.2   5119.7     -4929.4
  1431    64.9075    89.2564    -292418.2    -388864.9      96446.7     80176.6   13366.6       2903.6       178.4   5134.0     -4955.6
  1432    64.9072    89.2707    -292418.2    -388775.6      96357.5     80265.8   13380.2       2711.4       166.6   5148.4     -4981.8
  1433    64.9070    89.2850    -292418.2    -388686.4      96268.2     80355.1   13393.9       2519.2       154.8   5162.8     -5008.0
  1434    64.9067    89.2993    -292418.2    -388597.1      96178.9     80444.4   13407.5       2327.0       143.0   5177.2     -5034.2
  1435    64.9064    89.3135    -292418.2    -388507.8      96089.6     80533.7   13421.1       2134.8       131.2   5191.6     -5060.5
  1436    64.9062    89.3278    -292418.2    -388418.4      96000.3     80623.0   13434.7       1942.5       119.4   5206.1     -5086.8
  1437    64.9059    89.3421    -292418.2    -388329.1      95910.9     80712.4   13448.4       1750.2       107.5   5220.6     -5113.1
  1438    64.9057    89.3564    -292418.2    -388239.8      95821.6     80801.7   13462.0       1557.9        95.7   5235.2     -5139.5
  1439    64.9054    89.3707    -292418.2    -388150.4      95732.2     80891.1   13475.6       1365.6        83.9   5249.8     -5165.9
  1440    64.9052    89.3849    -292418.2    -388061.0      95642.8     80980.4   13489.2       1173.2        72.1   5264.4     -5192.3
  1441    64.9049    89.3992    -292418.2    -387971.6      95553.4     81069.8   13502.9        980.8        60.3   5279.0     -5218.8
  1442    64.9047    89.4135    -292418.2    -387882.2      95464.0     81159.2   13516.5        788.3        48.4   5293.7     -5245.2
  1443    64.9044    89.4278    -292418.2    -387792.8      95374.6     81248.7   13530.1        595.9        36.6   5308.4     -5271.8
  1444    64.9041    89.4420    -292418.2    -387703.4      95285.2     81338.1   13543.7        403.4        24.8   5323.1     -5298.3
  1445    64.9039    89.4563    -292418.2    -387613.9      95195.7     81427.5   13557.4        210.8        13.0   5337.9     -5324.9
  1446    64.9036    89.4706    -292418.2    -387524.4      95106.3     81517.0   13571.0         18.3         1.1   5352.7     -5351.5
  1447    64.9034    89.4849    -292418.2    -387435.0      95016.8     81606.5   13584.6       -174.3       -10.7   5367.5     -5378.2
  1448    64.9031    89.4991    -292418.2    -387345.5      94927.3     81696.0   13598.2       -366.9       -22.5   5382.3     -5404.9
  1449    64.9029    89.5134    -292418.2    -387256.0      94837.8     81785.5   13611.9       -559.5       -34.4   5397.2     -5431.6
  1450    64.9026    89.5277    -292418.2    -387166.4      94748.3     81875.0   13625.5       -752.2       -46.2   5412.1     -5458.4
  1451    64.9023    89.5419    -292418.2    -387076.9      94658.7     81964.5   13639.1       -944.9       -58.1   5427.1     -5485.2
  1452    64.9021    89.5562    -292418.2    -386987.4      94569.2     82054.1   13652.7      -1137.6       -69.9   5442.1     -5512.0
  1453    64.9018    89.5705    -292418.2    -386897.8      94479.6     82143.7   13666.4      -1330.4       -81.7   5457.1     -5538.8
  1454    64.9016    89.5847    -292418.2    -386808.2      94390.1     82233.2   13680.0      -1523.2       -93.6   5472.1     -5565.7
  1455    64.9013    89.5990    -292418.2    -386718.6      94300.5     82322.8   13693.6      -1716.0      -105.4   5487.2     -5592.6
  1456    64.9011    89.6133    -292418.2    -386629.0      94210.9     82412.4   13707.2      -1908.8      -117.3   5502.3     -5619.6
  1457    64.9008    89.6275    -292418.2    -386539.4      94121.2     82502.0   13720.9      -2101.7      -129.1   5517.4     -5646.6
